['trace:', '3.6323974082073436']
['madly:', '3.806479481641469']
['punch:', '3.806479481641469']
['soapy:', '3.806479481641469']
['thong:', '3.806479481641469']
['optic:', '3.806911447084233']
['audit:', '3.807343412526998']
['gourd:', '3.807343412526998']
['salvo:', '3.807343412526998']
['slump:', '3.807343412526998']
['unmet:', '3.807343412526998']
['abode:', '3.8077753779697625']
['adobe:', '3.8077753779697625']
['belch:', '3.8077753779697625']
['girth:', '3.8077753779697625']
['lingo:', '3.8077753779697625']
['locus:', '3.8077753779697625']
['midge:', '3.8077753779697625']
['ankle:', '3.808207343412527']
['candy:', '3.808207343412527']
['dairy:', '3.808207343412527']
['lurid:', '3.808207343412527']
['token:', '3.808207343412527']
['gonad:', '3.8086393088552914']
['guard:', '3.8086393088552914']
['synod:', '3.8086393088552914']
['brief:', '3.809071274298056']
['speak:', '3.809071274298056']
['today:', '3.809071274298056']
['weird:', '3.809071274298056']
['world:', '3.809071274298056']
['blush:', '3.809503239740821']
['clink:', '3.809503239740821']
['flesh:', '3.8099352051835855']
['opera:', '3.8099352051835855']
['decay:', '3.8103671706263498']
['filth:', '3.8103671706263498']
['steak:', '3.8103671706263498']
['warty:', '3.8103671706263498']
['child:', '3.8107991360691145']
['tract:', '3.8107991360691145']
['epoch:', '3.811231101511879']
['begat:', '3.8116630669546434']
['chafe:', '3.8116630669546434']
['chime:', '3.8116630669546434']
['faith:', '3.8116630669546434']
['honey:', '3.8116630669546434']
['prick:', '3.8116630669546434']
['knelt:', '3.812095032397408']
['datum:', '3.812526997840173']
['slick:', '3.812526997840173']
['solve:', '3.812526997840173']
['stump:', '3.812526997840173']
['turbo:', '3.812526997840173']
['wince:', '3.812526997840173']
['piety:', '3.8129589632829375']
['pluck:', '3.8129589632829375']
['tangy:', '3.8129589632829375']
['widen:', '3.8129589632829375']
['covet:', '3.8133909287257017']
['drive:', '3.8133909287257017']
['raven:', '3.8133909287257017']
['shrew:', '3.8133909287257017']
['valor:', '3.8133909287257017']
['neigh:', '3.8138228941684664']
['other:', '3.8138228941684664']
['thrum:', '3.8138228941684664']
['meaty:', '3.814254859611231']
['rouge:', '3.814254859611231']
['vapor:', '3.814254859611231']
['fiend:', '3.814686825053996']
['gaily:', '3.814686825053996']
['prowl:', '3.814686825053996']
['stave:', '3.814686825053996']
['wield:', '3.814686825053996']
['biome:', '3.81511879049676']
['frank:', '3.81511879049676']
['morph:', '3.81511879049676']
['right:', '3.81511879049676']
['stall:', '3.81511879049676']
['horny:', '3.8155507559395248']
['hound:', '3.8155507559395248']
['money:', '3.8155507559395248']
['alike:', '3.8159827213822894']
['forge:', '3.8159827213822894']
['freak:', '3.8159827213822894']
['gusto:', '3.8159827213822894']
['month:', '3.8159827213822894']
['spoke:', '3.8159827213822894']
['truly:', '3.8159827213822894']
['guise:', '3.816414686825054']
['snack:', '3.816414686825054']
['hasty:', '3.8168466522678184']
['lucid:', '3.8168466522678184']
['amber:', '3.817278617710583']
['brawn:', '3.817278617710583']
['gnash:', '3.817278617710583']
['medic:', '3.817278617710583']
['nomad:', '3.817278617710583']
['nosey:', '3.817278617710583']
['birch:', '3.8177105831533478']
['canal:', '3.8177105831533478']
['flank:', '3.8177105831533478']
['magic:', '3.8177105831533478']
['mercy:', '3.8177105831533478']
['binge:', '3.8181425485961125']
['irony:', '3.8181425485961125']
['piney:', '3.8181425485961125']
['valid:', '3.8181425485961125']
['fibre:', '3.8185745140388767']
['swift:', '3.8185745140388767']
['viral:', '3.8185745140388767']
['vital:', '3.8185745140388767']
['coven:', '3.8190064794816414']
['flack:', '3.8190064794816414']
['hinge:', '3.8190064794816414']
['ingot:', '3.8190064794816414']
['stick:', '3.8190064794816414']
['stuck:', '3.8190064794816414']
['swarm:', '3.8190064794816414']
['watch:', '3.8190064794816414']
['curio:', '3.819438444924406']
['diary:', '3.819870410367171']
['fetus:', '3.819870410367171']
['minus:', '3.820302375809935']
['novel:', '3.820302375809935']
['bench:', '3.8207343412526997']
['bonus:', '3.8207343412526997']
['bused:', '3.8207343412526997']
['doing:', '3.8207343412526997']
['spunk:', '3.8207343412526997']
['gayer:', '3.8211663066954644']
['boney:', '3.821598272138229']
['dicey:', '3.821598272138229']
['input:', '3.821598272138229']
['lover:', '3.821598272138229']
['matey:', '3.821598272138229']
['scowl:', '3.821598272138229']
['hotly:', '3.8220302375809934']
['liken:', '3.8220302375809934']
['mayor:', '3.8220302375809934']
['smack:', '3.8220302375809934']
['blimp:', '3.8228941684665227']
['nudge:', '3.8228941684665227']
['wider:', '3.8228941684665227']
['worth:', '3.8228941684665227']
['brown:', '3.8233261339092874']
['rumba:', '3.8233261339092874']
['being:', '3.8237580993520517']
['shirk:', '3.8237580993520517']
['vault:', '3.8237580993520517']
['angry:', '3.8241900647948164']
['devil:', '3.8241900647948164']
['stock:', '3.8241900647948164']
['album:', '3.824622030237581']
['drove:', '3.824622030237581']
['while:', '3.824622030237581']
['balmy:', '3.8250539956803458']
['bigot:', '3.8250539956803458']
['butch:', '3.8250539956803458']
['cavil:', '3.8250539956803458']
['decoy:', '3.8250539956803458']
['diver:', '3.8250539956803458']
['logic:', '3.8250539956803458']
['mouth:', '3.8250539956803458']
['phony:', '3.8250539956803458']
['beach:', '3.82548596112311']
['bunch:', '3.82548596112311']
['dopey:', '3.82548596112311']
['fresh:', '3.82548596112311']
['frown:', '3.82548596112311']
['rebus:', '3.82548596112311']
['shark:', '3.82548596112311']
['whale:', '3.82548596112311']
['caulk:', '3.8259179265658747']
['prove:', '3.8259179265658747']
['shake:', '3.8259179265658747']
['glory:', '3.8263498920086394']
['munch:', '3.8263498920086394']
['rogue:', '3.8263498920086394']
['abuse:', '3.826781857451404']
['bugle:', '3.826781857451404']
['scrub:', '3.826781857451404']
['knead:', '3.8272138228941683']
['stunk:', '3.8272138228941683']
['abhor:', '3.827645788336933']
['champ:', '3.827645788336933']
['media:', '3.827645788336933']
['tipsy:', '3.827645788336933']
['loamy:', '3.8280777537796977']
['poker:', '3.8280777537796977']
['rival:', '3.8280777537796977']
['scuba:', '3.8280777537796977']
['surly:', '3.8280777537796977']
['swing:', '3.8280777537796977']
['cover:', '3.8285097192224624']
['derby:', '3.8285097192224624']
['drunk:', '3.8285097192224624']
['house:', '3.8285097192224624']
['inlay:', '3.8285097192224624']
['shown:', '3.8285097192224624']
['mango:', '3.8289416846652267']
['tawny:', '3.8289416846652267']
['feign:', '3.8293736501079914']
['found:', '3.8293736501079914']
['start:', '3.8293736501079914']
['baker:', '3.829805615550756']
['group:', '3.829805615550756']
['shrug:', '3.829805615550756']
['syrup:', '3.829805615550756']
['carat:', '3.830669546436285']
['harpy:', '3.830669546436285']
['shiny:', '3.830669546436285']
['wrong:', '3.830669546436285']
['fetch:', '3.8311015118790497']
['swamp:', '3.8311015118790497']
['vicar:', '3.8311015118790497']
['women:', '3.8311015118790497']
['grown:', '3.8315334773218144']
['smirk:', '3.8315334773218144']
['humor:', '3.8319654427645786']
['polka:', '3.8319654427645786']
['shady:', '3.8319654427645786']
['verso:', '3.8319654427645786']
['began:', '3.8323974082073433']
['deity:', '3.8323974082073433']
['gamut:', '3.8323974082073433']
['hairy:', '3.8323974082073433']
['shank:', '3.8323974082073433']
['viper:', '3.8323974082073433']
['fancy:', '3.832829373650108']
['growl:', '3.832829373650108']
['hardy:', '3.832829373650108']
['thief:', '3.832829373650108']
['aphid:', '3.8332613390928727']
['aunty:', '3.8332613390928727']
['unfed:', '3.8332613390928727']
['brink:', '3.833693304535637']
['brush:', '3.833693304535637']
['gulch:', '3.833693304535637']
['plunk:', '3.833693304535637']
['badge:', '3.8341252699784016']
['snuck:', '3.8341252699784016']
['amply:', '3.8345572354211663']
['cumin:', '3.8345572354211663']
['dowry:', '3.8345572354211663']
['forty:', '3.834989200863931']
['navel:', '3.834989200863931']
['speck:', '3.834989200863931']
['throw:', '3.834989200863931']
['welsh:', '3.834989200863931']
['about:', '3.8354211663066953']
['befit:', '3.8354211663066953']
['lyric:', '3.8354211663066953']
['erect:', '3.83585313174946']
['flour:', '3.83585313174946']
['noisy:', '3.83585313174946']
['shock:', '3.83585313174946']
['curve:', '3.8362850971922247']
['block:', '3.8367170626349894']
['fiber:', '3.8367170626349894']
['mower:', '3.8367170626349894']
['smoke:', '3.8367170626349894']
['brisk:', '3.8371490280777536']
['foray:', '3.8371490280777536']
['laugh:', '3.8371490280777536']
['light:', '3.8371490280777536']
['liver:', '3.8371490280777536']
['vocal:', '3.8371490280777536']
['flush:', '3.8375809935205183']
['heady:', '3.8375809935205183']
['thank:', '3.8375809935205183']
['whole:', '3.838012958963283']
['finch:', '3.8384449244060477']
['fling:', '3.8384449244060477']
['begin:', '3.838876889848812']
['thing:', '3.838876889848812']
['curly:', '3.8393088552915766']
['fairy:', '3.8393088552915766']
['ombre:', '3.8393088552915766']
['nobly:', '3.8397408207343413']
['welch:', '3.8397408207343413']
['winch:', '3.8397408207343413']
['sleet:', '3.840172786177106']
['dingo:', '3.8406047516198702']
['flume:', '3.8406047516198702']
['sigma:', '3.8406047516198702']
['terse:', '3.8406047516198702']
['snaky:', '3.841036717062635']
['study:', '3.841036717062635']
['flake:', '3.8414686825053996']
['leafy:', '3.8414686825053996']
['bleak:', '3.8419006479481643']
['blown:', '3.8419006479481643']
['broke:', '3.8419006479481643']
['deter:', '3.8419006479481643']
['wrack:', '3.8419006479481643']
['anvil:', '3.8423326133909286']
['field:', '3.8427645788336933']
['wager:', '3.8427645788336933']
['lousy:', '3.843196544276458']
['stoke:', '3.843196544276458']
['tarot:', '3.843196544276458']
['treat:', '3.843196544276458']
['vaunt:', '3.843196544276458']
['bulge:', '3.8436285097192227']
['chump:', '3.8436285097192227']
['craze:', '3.8436285097192227']
['dusty:', '3.8436285097192227']
['godly:', '3.8436285097192227']
['ethic:', '3.844060475161987']
['pouch:', '3.844060475161987']
['weary:', '3.844060475161987']
['amity:', '3.8444924406047516']
['beady:', '3.8444924406047516']
['mangy:', '3.8444924406047516']
['salad:', '3.8444924406047516']
['white:', '3.8444924406047516']
['wreak:', '3.8444924406047516']
['bowel:', '3.8449244060475163']
['tacky:', '3.8449244060475163']
['below:', '3.845356371490281']
['chalk:', '3.845356371490281']
['flung:', '3.845356371490281']
['grave:', '3.845356371490281']
['whine:', '3.845356371490281']
['yacht:', '3.8457883369330452']
['ethos:', '3.84622030237581']
['pouty:', '3.84622030237581']
['stove:', '3.84622030237581']
['trite:', '3.84622030237581']
['wheat:', '3.84622030237581']
['femur:', '3.8466522678185746']
['usher:', '3.8466522678185746']
['wench:', '3.8475161987041036']
['agony:', '3.8479481641468682']
['lease:', '3.848380129589633']
['brave:', '3.8488120950323976']
['hover:', '3.8488120950323976']
['overt:', '3.8488120950323976']
['motif:', '3.849244060475162']
['bloke:', '3.8496760259179266']
['halve:', '3.8496760259179266']
['roost:', '3.8496760259179266']
['wafer:', '3.8496760259179266']
['fiery:', '3.8501079913606913']
['frisk:', '3.8501079913606913']
['handy:', '3.8501079913606913']
['alive:', '3.8505399568034555']
['image:', '3.8505399568034555']
['shrub:', '3.8505399568034555']
['plumb:', '3.85097192224622']
['truer:', '3.851403887688985']
['dwarf:', '3.8518358531317496']
['flyer:', '3.8518358531317496']
['gavel:', '3.8518358531317496']
['limbo:', '3.8518358531317496']
['flown:', '3.852267818574514']
['wagon:', '3.852267818574514']
['among:', '3.8526997840172785']
['music:', '3.8526997840172785']
['shack:', '3.8526997840172785']
['troop:', '3.8526997840172785']
['chief:', '3.853131749460043']
['drool:', '3.853131749460043']
['smock:', '3.853131749460043']
['wordy:', '3.853131749460043']
['downy:', '3.853563714902808']
['flock:', '3.853563714902808']
['think:', '3.853563714902808']
['whirl:', '3.853563714902808']
['aorta:', '3.853995680345572']
['endow:', '3.853995680345572']
['blink:', '3.854427645788337']
['cyber:', '3.854427645788337']
['hyper:', '3.854427645788337']
['class:', '3.8548596112311015']
['favor:', '3.8548596112311015']
['witch:', '3.8548596112311015']
['eight:', '3.8552915766738662']
['thump:', '3.8552915766738662']
['girly:', '3.8557235421166305']
['whelp:', '3.8557235421166305']
['shave:', '3.856155507559395']
['wound:', '3.856155507559395']
['frock:', '3.85658747300216']
['focus:', '3.8570194384449246']
['moldy:', '3.8570194384449246']
['dingy:', '3.8578833693304535']
['fleck:', '3.8578833693304535']
['sleep:', '3.8578833693304535']
['shuck:', '3.858315334773218']
['dense:', '3.858747300215983']
['rough:', '3.858747300215983']
['thick:', '3.858747300215983']
['human:', '3.859179265658747']
['lofty:', '3.859179265658747']
['ovate:', '3.859179265658747']
['tense:', '3.859179265658747']
['choke:', '3.859611231101512']
['dimly:', '3.859611231101512']
['guide:', '3.859611231101512']
['maker:', '3.859611231101512']
['pithy:', '3.859611231101512']
['lying:', '3.8600431965442765']
['budge:', '3.860475161987041']
['ebony:', '3.860475161987041']
['taste:', '3.860475161987041']
['toast:', '3.860475161987041']
['aglow:', '3.8609071274298055']
['perky:', '3.8609071274298055']
['reset:', '3.8609071274298055']
['unwed:', '3.8609071274298055']
['voice:', '3.8609071274298055']
['grimy:', '3.86133909287257']
['sheik:', '3.86133909287257']
['trait:', '3.86133909287257']
['gusty:', '3.861771058315335']
['night:', '3.861771058315335']
['afoul:', '3.8622030237580995']
['evict:', '3.8622030237580995']
['torso:', '3.8622030237580995']
['altar:', '3.862634989200864']
['lynch:', '3.862634989200864']
['apart:', '3.8630669546436285']
['elbow:', '3.8630669546436285']
['latte:', '3.8630669546436285']
['naive:', '3.8630669546436285']
['yield:', '3.8630669546436285']
['bingo:', '3.863498920086393']
['grove:', '3.863498920086393']
['meter:', '3.863498920086393']
['musty:', '3.863498920086393']
['tease:', '3.863498920086393']
['rowdy:', '3.863930885529158']
['wreck:', '3.863930885529158']
['vista:', '3.864362850971922']
['cagey:', '3.864794816414687']
['natal:', '3.864794816414687']
['pivot:', '3.864794816414687']
['repel:', '3.864794816414687']
['oaken:', '3.8652267818574515']
['olive:', '3.8652267818574515']
['unfit:', '3.8652267818574515']
['cress:', '3.865658747300216']
['wrung:', '3.865658747300216']
['erase:', '3.8660907127429804']
['gipsy:', '3.8660907127429804']
['lanky:', '3.8660907127429804']
['macho:', '3.8660907127429804']
['title:', '3.8660907127429804']
['usage:', '3.8660907127429804']
['hydro:', '3.866522678185745']
['mogul:', '3.866522678185745']
['pixel:', '3.866522678185745']
['prize:', '3.866522678185745']
['foyer:', '3.86695464362851']
['slash:', '3.86695464362851']
['snowy:', '3.8673866090712745']
['terra:', '3.8673866090712745']
['sneer:', '3.8678185745140388']
['umbra:', '3.8678185745140388']
['build:', '3.8682505399568035']
['lumpy:', '3.8682505399568035']
['would:', '3.8682505399568035']
['glove:', '3.868682505399568']
['suave:', '3.868682505399568']
['tying:', '3.868682505399568']
['tough:', '3.8691144708423324']
['colon:', '3.869978401727862']
['newly:', '3.869978401727862']
['minty:', '3.8704103671706265']
['mover:', '3.8704103671706265']
['lefty:', '3.8708423326133907']
['chunk:', '3.8712742980561554']
['guild:', '3.8712742980561554']
['hovel:', '3.8712742980561554']
['might:', '3.87170626349892']
['brick:', '3.872138228941685']
['gaudy:', '3.872138228941685']
['arena:', '3.872570194384449']
['crier:', '3.872570194384449']
['fluid:', '3.872570194384449']
['duvet:', '3.8730021598272137']
['haven:', '3.8730021598272137']
['preen:', '3.8730021598272137']
['shall:', '3.8730021598272137']
['steel:', '3.8730021598272137']
['tacit:', '3.8730021598272137']
['thyme:', '3.8730021598272137']
['fatal:', '3.8734341252699784']
['whose:', '3.8734341252699784']
['hyena:', '3.874730021598272']
['spree:', '3.874730021598272']
['woman:', '3.874730021598272']
['dying:', '3.8751619870410368']
['ghoul:', '3.8751619870410368']
['venom:', '3.8755939524838015']
['donor:', '3.8760259179265657']
['forum:', '3.8760259179265657']
['leaky:', '3.8760259179265657']
['sulky:', '3.8760259179265657']
['width:', '3.8760259179265657']
['rhyme:', '3.8764578833693304']
['tweak:', '3.8764578833693304']
['vapid:', '3.8764578833693304']
['dogma:', '3.876889848812095']
['droop:', '3.876889848812095']
['trust:', '3.876889848812095']
['creed:', '3.8773218142548598']
['fudge:', '3.8773218142548598']
['pasta:', '3.8773218142548598']
['taint:', '3.8773218142548598']
['stool:', '3.877753779697624']
['droll:', '3.8781857451403887']
['nasal:', '3.8781857451403887']
['thumb:', '3.8781857451403887']
['basal:', '3.8786177105831534']
['corer:', '3.8786177105831534']
['swami:', '3.8786177105831534']
['value:', '3.879049676025918']
['allot:', '3.8794816414686824']
['local:', '3.879913606911447']
['empty:', '3.8803455723542117']
['maybe:', '3.8803455723542117']
['swung:', '3.8803455723542117']
['knife:', '3.8807775377969764']
['vigor:', '3.8807775377969764']
['greet:', '3.8812095032397407']
['peace:', '3.8812095032397407']
['prior:', '3.8812095032397407']
['troll:', '3.8812095032397407']
['given:', '3.8816414686825054']
['small:', '3.8816414686825054']
['weigh:', '3.8816414686825054']
['beret:', '3.88207343412527']
['color:', '3.88207343412527']
['dough:', '3.88207343412527']
['rocky:', '3.88207343412527']
['using:', '3.88207343412527']
['dumpy:', '3.8825053995680348']
['ovine:', '3.8825053995680348']
['sixth:', '3.8825053995680348']
['spell:', '3.8825053995680348']
['glass:', '3.882937365010799']
['privy:', '3.882937365010799']
['audio:', '3.8833693304535637']
['state:', '3.8833693304535637']
['flunk:', '3.8838012958963284']
['scree:', '3.884233261339093']
['banal:', '3.8846652267818573']
['cough:', '3.8846652267818573']
['relax:', '3.8846652267818573']
['eying:', '3.885097192224622']
['gravy:', '3.885097192224622']
['pudgy:', '3.885097192224622']
['cease:', '3.8855291576673867']
['eater:', '3.8855291576673867']
['mocha:', '3.8855291576673867']
['ardor:', '3.8859611231101514']
['debug:', '3.8859611231101514']
['giver:', '3.8859611231101514']
['glyph:', '3.8859611231101514']
['robot:', '3.8859611231101514']
['lymph:', '3.8863930885529157']
['movie:', '3.8863930885529157']
['still:', '3.8863930885529157']
['loose:', '3.8868250539956803']
['tulle:', '3.8868250539956803']
['zonal:', '3.8868250539956803']
['pence:', '3.887257019438445']
['steed:', '3.887257019438445']
['wispy:', '3.887257019438445']
['curvy:', '3.8876889848812093']
['owing:', '3.8876889848812093']
['pesky:', '3.8876889848812093']
['press:', '3.8876889848812093']
['crass:', '3.888120950323974']
['riser:', '3.888120950323974']
['risky:', '3.888120950323974']
['motor:', '3.8885529157667387']
['exalt:', '3.8894168466522676']
['havoc:', '3.8894168466522676']
['total:', '3.8898488120950323']
['gecko:', '3.890280777537797']
['ladle:', '3.890280777537797']
['steep:', '3.8907127429805617']
['cabal:', '3.891144708423326']
['creep:', '3.891144708423326']
['unity:', '3.891144708423326']
['vomit:', '3.891144708423326']
['flick:', '3.8915766738660906']
['leper:', '3.8915766738660906']
['stood:', '3.8915766738660906']
['comfy:', '3.8920086393088553']
['skimp:', '3.8920086393088553']
['topaz:', '3.8920086393088553']
['awful:', '3.89244060475162']
['fight:', '3.89244060475162']
['humid:', '3.89244060475162']
['silky:', '3.89244060475162']
['fluke:', '3.8928725701943843']
['pushy:', '3.8928725701943843']
['retro:', '3.8928725701943843']
['knave:', '3.893304535637149']
['vegan:', '3.893304535637149']
['parer:', '3.8937365010799136']
['betel:', '3.8941684665226783']
['semen:', '3.8941684665226783']
['sheet:', '3.8941684665226783']
['eking:', '3.8946004319654426']
['elate:', '3.8946004319654426']
['begun:', '3.8950323974082073']
['burly:', '3.8950323974082073']
['imbue:', '3.8950323974082073']
['asset:', '3.8958963282937367']
['cello:', '3.8958963282937367']
['ought:', '3.8958963282937367']
['stunt:', '3.8958963282937367']
['drier:', '3.896328293736501']
['enter:', '3.896328293736501']
['lapel:', '3.896328293736501']
['tiara:', '3.896328293736501']
['atoll:', '3.8967602591792656']
['piece:', '3.8967602591792656']
['steer:', '3.8967602591792656']
['wharf:', '3.8967602591792656']
['brood:', '3.8971922246220303']
['imply:', '3.8971922246220303']
['canon:', '3.897624190064795']
['breed:', '3.898488120950324']
['crepe:', '3.898488120950324']
['eaten:', '3.898488120950324']
['sloop:', '3.898488120950324']
['taunt:', '3.898488120950324']
['truss:', '3.898488120950324']
['blaze:', '3.8989200863930886']
['waver:', '3.8989200863930886']
['elder:', '3.8997840172786176']
['buyer:', '3.900647948164147']
['dress:', '3.900647948164147']
['duchy:', '3.900647948164147']
['pubic:', '3.900647948164147']
['recur:', '3.9010799136069116']
['shove:', '3.9010799136069116']
['dozen:', '3.901511879049676']
['exist:', '3.901511879049676']
['squat:', '3.901511879049676']
['mushy:', '3.9019438444924406']
['shaky:', '3.9019438444924406']
['voila:', '3.9019438444924406']
['glaze:', '3.9023758099352053']
['greed:', '3.90280777537797']
['lasso:', '3.90280777537797']
['rodeo:', '3.90280777537797']
['sheen:', '3.90280777537797']
['condo:', '3.903671706263499']
['elite:', '3.903671706263499']
['stoop:', '3.903671706263499']
['woven:', '3.903671706263499']
['apnea:', '3.9041036717062636']
['drill:', '3.9041036717062636']
['sally:', '3.9045356371490283']
['murky:', '3.9049676025917925']
['otter:', '3.9049676025917925']
['flaky:', '3.9053995680345572']
['fleet:', '3.9053995680345572']
['extra:', '3.905831533477322']
['joist:', '3.905831533477322']
['nymph:', '3.905831533477322']
['posse:', '3.905831533477322']
['stilt:', '3.905831533477322']
['surer:', '3.905831533477322']
['shell:', '3.906263498920086']
['bylaw:', '3.906695464362851']
['dread:', '3.906695464362851']
['armor:', '3.9071274298056156']
['spiky:', '3.9071274298056156']
['detox:', '3.9075593952483803']
['elect:', '3.9075593952483803']
['itchy:', '3.9075593952483803']
['noose:', '3.9075593952483803']
['dross:', '3.9079913606911445']
['major:', '3.908423326133909']
['easel:', '3.908855291576674']
['grass:', '3.908855291576674']
['hefty:', '3.908855291576674']
['racer:', '3.908855291576674']
['snoop:', '3.908855291576674']
['woken:', '3.908855291576674']
['honor:', '3.9092872570194386']
['spool:', '3.9092872570194386']
['bravo:', '3.909719222462203']
['brass:', '3.9101511879049675']
['dried:', '3.9101511879049675']
['filmy:', '3.9101511879049675']
['graze:', '3.9101511879049675']
['index:', '3.9101511879049675']
['scene:', '3.9101511879049675']
['viola:', '3.9101511879049675']
['creme:', '3.910583153347732']
['beset:', '3.911015118790497']
['smell:', '3.911015118790497']
['omega:', '3.911447084233261']
['drama:', '3.911879049676026']
['ester:', '3.9123110151187905']
['opium:', '3.9123110151187905']
['catch:', '3.9127429805615552']
['cross:', '3.9127429805615552']
['green:', '3.9127429805615552']
['paper:', '3.9131749460043195']
['stint:', '3.9131749460043195']
['youth:', '3.9131749460043195']
['order:', '3.913606911447084']
['exact:', '3.914038876889849']
['gazer:', '3.914038876889849']
['sooth:', '3.914038876889849']
['strut:', '3.914038876889849']
['titan:', '3.914038876889849']
['axion:', '3.9144708423326136']
['jaunt:', '3.9144708423326136']
['purer:', '3.9144708423326136']
['edify:', '3.914902807775378']
['covey:', '3.9153347732181425']
['exult:', '3.9153347732181425']
['genre:', '3.9153347732181425']
['linen:', '3.9153347732181425']
['moron:', '3.9153347732181425']
['ficus:', '3.915766738660907']
['trout:', '3.915766738660907']
['tryst:', '3.915766738660907']
['vowel:', '3.915766738660907']
['rugby:', '3.916198704103672']
['hymen:', '3.916630669546436']
['tutor:', '3.916630669546436']
['ivory:', '3.917062634989201']
['lilac:', '3.917062634989201']
['tally:', '3.917062634989201']
['three:', '3.917062634989201']
['hazel:', '3.9174946004319655']
['pagan:', '3.9174946004319655']
['savoy:', '3.9174946004319655']
['reuse:', '3.91792656587473']
['these:', '3.91792656587473']
['waltz:', '3.91792656587473']
['arbor:', '3.9183585313174945']
['riper:', '3.9183585313174945']
['spill:', '3.9183585313174945']
['totem:', '3.9183585313174945']
['bawdy:', '3.918790496760259']
['scoop:', '3.918790496760259']
['smoky:', '3.918790496760259']
['spoon:', '3.918790496760259']
['bough:', '3.919222462203024']
['harsh:', '3.9196544276457885']
['joust:', '3.9196544276457885']
['showy:', '3.9196544276457885']
['taboo:', '3.920086393088553']
['foamy:', '3.920950323974082']
['there:', '3.920950323974082']
['bleed:', '3.921382289416847']
['bushy:', '3.921382289416847']
['shoot:', '3.921382289416847']
['abate:', '3.921814254859611']
['rerun:', '3.921814254859611']
['sauna:', '3.921814254859611']
['sweet:', '3.921814254859611']
['alarm:', '3.922246220302376']
['fritz:', '3.922246220302376']
['wight:', '3.922246220302376']
['young:', '3.922246220302376']
['erode:', '3.923110151187905']
['quart:', '3.923110151187905']
['ruler:', '3.923110151187905']
['video:', '3.923110151187905']
['apple:', '3.9235421166306694']
['fishy:', '3.9235421166306694']
['ruder:', '3.9235421166306694']
['adapt:', '3.923974082073434']
['blood:', '3.923974082073434']
['fjord:', '3.923974082073434']
['hatch:', '3.923974082073434']
['piper:', '3.923974082073434']
['tenth:', '3.923974082073434']
['cacti:', '3.924406047516199']
['windy:', '3.924406047516199']
['bayou:', '3.924838012958963']
['circa:', '3.924838012958963']
['boost:', '3.9252699784017278']
['rider:', '3.9252699784017278']
['sheer:', '3.9252699784017278']
['spasm:', '3.9252699784017278']
['elope:', '3.9257019438444924']
['ledge:', '3.926133909287257']
['vouch:', '3.926133909287257']
['froze:', '3.9265658747300214']
['waive:', '3.9265658747300214']
['dusky:', '3.9274298056155508']
['speed:', '3.9274298056155508']
['borax:', '3.9278617710583155']
['blitz:', '3.9282937365010797']
['briar:', '3.9287257019438444']
['libel:', '3.929157667386609']
['puree:', '3.929157667386609']
['whisk:', '3.929589632829374']
['gross:', '3.930021598272138']
['bless:', '3.9304535637149027']
['floor:', '3.9304535637149027']
['pinky:', '3.9304535637149027']
['azure:', '3.9308855291576674']
['hello:', '3.9308855291576674']
['niece:', '3.9308855291576674']
['rearm:', '3.9308855291576674']
['freed:', '3.931317494600432']
['quest:', '3.931317494600432']
['bleep:', '3.9317494600431964']
['moose:', '3.9317494600431964']
['milky:', '3.932181425485961']
['sappy:', '3.9326133909287257']
['howdy:', '3.9330453563714904']
['mauve:', '3.9330453563714904']
['rigor:', '3.9330453563714904']
['inner:', '3.9334773218142547']
['renew:', '3.9334773218142547']
['rupee:', '3.9334773218142547']
['slosh:', '3.9334773218142547']
['stash:', '3.9334773218142547']
['friar:', '3.9339092872570194']
['toxin:', '3.9339092872570194']
['virus:', '3.9339092872570194']
['dally:', '3.935205183585313']
['lucky:', '3.935205183585313']
['proof:', '3.935205183585313']
['cheer:', '3.9356371490280777']
['hence:', '3.9356371490280777']
['limit:', '3.9356371490280777']
['ovary:', '3.9356371490280777']
['gloss:', '3.9360691144708424']
['rebel:', '3.9360691144708424']
['awoke:', '3.936501079913607']
['belie:', '3.936501079913607']
['iliac:', '3.936501079913607']
['egret:', '3.9369330453563713']
['extol:', '3.9369330453563713']
['masse:', '3.9369330453563713']
['tithe:', '3.9369330453563713']
['envoy:', '3.937365010799136']
['gumbo:', '3.937365010799136']
['joint:', '3.9382289416846654']
['musky:', '3.9382289416846654']
['odder:', '3.9382289416846654']
['sixty:', '3.9382289416846654']
['mania:', '3.9386609071274297']
['tasty:', '3.9390928725701944']
['algae:', '3.939524838012959']
['clack:', '3.939524838012959']
['fixer:', '3.939524838012959']
['sorry:', '3.939524838012959']
['pupal:', '3.9399568034557237']
['defer:', '3.9408207343412527']
['inane:', '3.9408207343412527']
['bulky:', '3.9412526997840174']
['tweed:', '3.9412526997840174']
['manga:', '3.941684665226782']
['junta:', '3.9421166306695463']
['parry:', '3.9421166306695463']
['rural:', '3.9421166306695463']
['vinyl:', '3.9421166306695463']
['askew:', '3.942548596112311']
['newer:', '3.942548596112311']
['radii:', '3.942548596112311']
['boxer:', '3.9429805615550757']
['heavy:', '3.9429805615550757']
['retry:', '3.9429805615550757']
['truth:', '3.9429805615550757']
['aroma:', '3.9438444924406046']
['carry:', '3.9442764578833693']
['crack:', '3.944708423326134']
